K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
0.24167958170050008,0.24206081092163012,0.2423733392706665,0.24168546295667115,0.24175874396580377,0.24175376595543663,0.2419425375098565,0.24201995715991764,0.24144060349700502,0.24176415683303532
0.3253879312696415,0.32478242732379514,0.3248712001070676,0.32464267888309895,0.3247783190490481,0.3254166248954028,0.3247025395753308,0.32466682560289994,0.3243479373145761,0.32493643906234526
0.3296339492009023,0.32897108929088126,0.3289598450617921,0.3288915445401872,0.32903510465203023,0.32962382120380884,0.3288449849992411,0.3289258787151459,0.3286460063544828,0.3291689985603452
0.33359622030672775,0.33281869185017576,0.3328936042944749,0.332045057956022,0.3321322184609248,0.33391688535382547,0.3330176077360343,0.3319886123425577,0.3329452847437957,0.33321561741572747
0.3369796363532064,0.336126214690717,0.33601355413706147,0.3360303768974394,0.33618366631058827,0.33700472646205537,0.3361241457978068,0.336000886718821,0.3360587785034329,0.3362958116438972
0.338086792562182,0.33721335962658594,0.33700861195918075,0.3371006090492429,0.33727476785953203,0.33800348462358687,0.3372468111994956,0.3370310278536476,0.3370037020925015,0.3373780510252853
0.3388306066357667,0.33792929296160545,0.3374171068473827,0.33777802171201177,0.3377380358202582,0.33874641680934825,0.3377217901040619,0.33747461240361154,0.33771316652161976,0.3381253769480014
0.3392136199557235,0.3383778706991333,0.33810491941293797,0.33814148263303534,0.3384499043664321,0.33907664791274117,0.33837940876916384,0.3381235394819093,0.3381339869741701,0.3385593695235394
0.3392358604019945,0.3384670578592136,0.33819085659508374,0.33821421147004027,0.33850488338623486,0.3391516180927272,0.3384483181777658,0.3381755147838431,0.3381962538502187,0.33858749037426694
0.3392656883140188,0.3384774672251142,0.3382045623340486,0.3382332931714964,0.3385231140988061,0.3391784954423469,0.33848476037342323,0.3382032768613126,0.33822882828833933,0.33860032590882827
0.3393242071159758,0.33849276956466834,0.33825932302146866,0.33825596762850363,0.33853699477281707,0.3392188852368718,0.3385268680876339,0.33823897818306337,0.3382830088727812,0.33866293418962634
0.3394091860247572,0.3385771731225312,0.3383261351510758,0.338319953469451,0.33862961661053903,0.33929914749626366,0.3386034835723286,0.3383167645543169,0.33836272227506736,0.3387515820383268
