"mean" "sd" "2.5%" "97.5%" "n_eff" "Rhat"
"(Intercept)" -6.26447377855403 0.36338255419162 -7.00540481940019 -5.5775793796171 8434.7660601081 0.999368434493152
"SEXOMale" 0.506146906197201 0.162530067759241 0.18942005394936 0.832520013833542 10500.8962468741 0.999808706683495
"EDAD" 0.0754840307029841 0.00584028988190861 0.0641918115557338 0.0872263994318573 9217.87350903927 0.999278892798022
"DIABETESYes" 0.551253611006575 0.185955203614999 0.179375843549133 0.908870184269932 9177.66222989106 0.999510548013053
"EPOCYes" 0.0798521760375338 0.46394681884982 -0.85895021159429 0.957209160827792 11736.5976634709 1.00001752109471
"INMUSUPRYes" 0.0306193221429736 0.569189267520194 -1.13624566548118 1.09616673158963 10740.001498426 0.999989393073614
"HIPERTENSIONYes" -0.166174359800408 0.192682504142083 -0.55606294743046 0.204698889306108 9803.41379843242 0.999567736047598
"OBESIDADYes" 0.439512353520127 0.179541197969693 0.0962326525407272 0.78628334599972 10459.6616336573 0.999277398355372
"RENAL_CRONICAYes" 1.41685135141752 0.411410353441871 0.625923638125352 2.238232593752 10965.7051811481 0.999646000472172
"mean_PPD" 0.151141885696822 0.0110406032374888 0.12958435207824 0.172982885085575 7328.88104554175 0.999978717554541
"log-posterior" -555.826256136045 2.09840345166835 -560.752042631315 -552.784960984559 3799.4794232366 1.00005691795231
